CREATE TABLE bintest (p postcode, d dps);
\copy bintest FROM '/home/dave/dev/postcode/data/binary.data' WITH BINARY;
SELECT * FROM bintest;
    p     | d  
 IG7 4NE  | 4N
 TN15 6HG | 4E
 L6 3AS   | 3D
 SK15 3ES | 3U
 TN30 6QR | 8W
 LL55 1DB | 4F
 PE25 3SE | 5F
 BS21 5EY | 1Q
 LE10 0LQ | 5H
 RM8 2FJ  | 2Z
 SA1 6WU  | 4F
 SA71 4AT | 8D
 BA3 2HN  | 9N
 NR7 7SH  | 3F
 B31 5JA  | 5X
 PO4 8XT  | 4P
 IP2 8QE  | 3X
 W1W 5ND  | 8H
 RH10 1EX | 1D
 KT23 3NX | 5S
 LE12 6SP | 5N
 IM99 3XP | 4Q
 NE62 5JE | 8Z
 EX2 7ZE  | 9E
 OL3 6LS  | 6A
 CT3 3LB  | 8U
 TW3 9HH  | 9X
 MK10 9EB | 2B
 RG18 3EJ | 1P
 HU3 5LJ  | 2H
 OX49 5WE | 1F
 IP30 9XS | 9W
 WC1N 3NW | 1S
 TF2 9PJ  | 9R
 ML6 8TT  | 3L
 NR1 2PU  | 2B
 SA4 4YJ  | 4A
 SG3 6QD  | 8U
 EX17 5DD | 8E
 NG3 5SY  | 4D
 PO6 4EY  | 3H
 PR8 5BH  | 4N
 TN34 1PF | 6H
 DG12 5JG | 8P
 CH41 9DX | 9N
 IM5 1PL  | 4E
 RH1 1LR  | 7G
 TW4 7AY  | 8A
 BB10 3HN | 7D
 W2 2TH   | 9Y
 SR4 7DQ  | 4L
 NR32 2RS | 2B
 BR3 3WB  | 3T
 W2 4HB   | 6U
 MK41 9LJ | 2L
 BN27 1ES | 9U
 M26 3RB  | 3B
 YO14 9RF | 9G
 SE9 1NJ  | 3X
 DT2 8UZ  | 1Q
 DE56 2HQ | 1X
 CM0 8HL  | 7R
 DH8 9TE  | 5Q
 NN14 3AS | 4D
 TA10 0PX | 3T
 NN14 1GY | 7B
 HP2 4BN  | 9X
 SE18 4LR | 6Q
 WV5 0HE  | 7N
 E6 3NL   | 5Q
 DT6 3AB  | 7P
 OX2 7QQ  | 3P
 WA11 7RH | 8U
 CF10 5WA | 1L
 IP4 2EH  | 4D
 B94 6RJ  | 9U
 SS5 4BP  | 9A
 FY8 3LJ  | 6X
 OL15 9QZ | 8R
 S10 4NE  | 3L
 NG11 8BA | 5N
 NG14 7YQ | 5R
 W8 5NN   | 1T
 CT5 4AS  | 8T
 W1T 6EJ  | 8E
 LU2 7HE  | 3U
 DD11 4UE | 4L
 CR0 0EG  | 1Q
 BH23 5UB | 7E
 NP20 2DJ | 5R
 OX49 5WJ | 4W
 SE20 7DP | 1B
 LE17 4GL | 2J
 CA20 1LF | 4F
 B27 6BG  | 7W
 TF9 4NT  | 7X
 NP23 6BX | 6T
 EX18 7BS | 8S
 LL16 3SR | 2S
 EH15 3SB | 8E
 L7 8SA   | 5H
 AB39 3NA | 8U
 W1A 5BA  | 3S
 LA9 4AE  | 7W
 BS16 0AH | 1N
 NE40 3EL | 8N
 W1P 3PD  | 3W
 FY7 8YJ  | 4N
 SL7 2WB  | 5Q
 E17 6PT  | 1P
 M40 2FL  | 1Q
 S71 3DA  | 7Q
 BL2 6BE  | 1Z
 ST12 9JD | 8R
 W2 4AR   | 7N
 WA8 8WF  | 2U
 SS11 7QY | 1N
 CF82 7JF | 1H
 DN3 3PS  | 1U
 SE19 1SR | 6D
 PE21 8UJ | 3R
 S35 4FP  | 7H
 BA1 5HX  | 4Y
 PR2 9NS  | 3J
 CR4 3PY  | 2Q
 HP12 3DF | 4P
 N5 1PH   | 3E
 PH9 0LB  | 9U
 TQ1 1JS  | 2P
 PL18 9HB | 2U
 BT4 1LB  | 4J
 TR6 0WP  | 6Q
 OX16 8RA | 2B
 SG14 1RA | 5F
 CV6 7FZ  | 8E
 FK7 7LX  | 7H
 UB4 8SB  | 8X
 SW1X 9JQ | 4H
 SW6 4EX  | 9P
 PL7 4PE  | 8G
 CV34 9NN | 6N
 IP12 4WJ | 2B
 SA44 4PY | 1A
 SW11 5QL | 4A
 SW7 3JW  | 8H
 EC3P 3FP | 3F
 CV13 0LP | 8W
 CB6 3QF  | 1Y
 E10 6EL  | 1Q
 RM7 0TD  | 7Z
 LS17 0EF | 9H
 WN8 1AZ  | 1S
 DE5 9TN  | 1T
 W5 2ER   | 6T
 PE17 5BJ | 2B
 TW13 6UJ | 4J
 BD17 7JR | 5S
 BB9 0SJ  | 8E
 TR14 8UB | 5H
 NN5 7TZ  | 8J
 LE5 3HP  | 7D
 SS0 0YS  | 5F
 LL34 6PL | 9J
 SO14 3AB | 4L
 SO20 6EL | 9S
 EH7 5QS  | 2G
 NR12 7WA | 1A
 SL7 1WL  | 6Q
 WC2H 0BB | 7J
 RM19 1PQ | 2Z
 CH49 6NA | 9Q
 BS23 9BR | 2W
 SE1 3FG  | 4P
 S13 8JG  | 9Z
 GU47 7FH | 2P
 MK5 6JP  | 5F
 IP21 4JZ | 4F
 HP21 9DN | 1E
 BN13 3SL | 5L
 W13 8AU  | 7Y
 PO12 2TZ | 9Q
 SK6 7GA  | 6Q
 PO30 5LB | 8Y
 PE33 0LW | 7Z
 NR1 4QL  | 2B
 OL12 8QP | 2Y
 L16 2JZ  | 3T
 DD9 7XR  | 9D
 WF14 9RT | 5H
 NG24 2PR | 3H
 LL16 5LD | 1Y
 NR31 8SF | 9E
 E3 5AW   | 8T
 DL11 7NJ | 5U
 L36 8AB  | 2J
 PL26 8JA | 1X
 WR7 4ZG  | 8T
 SA44 6EE | 4F
 OX49 5NS | 7P
 GU26 6DU | 1Q
 BT38 0SH | 1H
 M25 9XG  | 3F
 KT19 9ZA | 7L
 PR9 7JG  | 7T
 WR11 7TE | 4Y
 DE5 3AQ  | 1S
 RG5 4BP  | 4D
 LN6 5TZ  | 1T
 NN8 9FQ  | 3N
 IG10 3RY | 7E
 WD1 1NU  | 1W
 NE62 5QG | 4B
 N12 0EQ  | 6Q
 NR31 8HF | 4J
 OX44 9HP | 1D
 M11 4AH  | 6S
 JE4 0NS  | 1W
 IP21 5SF | 9X
 SL4 6BU  | 7J
 L9 9JF   | 9B
 DN14 9BN | 4S
 SL2 3NW  | 7E
 DL3 9AE  | 8S
 SW7 4XE  | 4E
 YO18 7NA | 7P
 GY6 8EL  | 9W
 UB4 0YW  | 8T
 KT20 7SJ | 1G
 DN3 3SS  | 3N
 NR32 1DE | 1J
 S75 1PE  | 8G
 LS16 8JY | 2L
 CW2 8QJ  | 5E
 TD9 7WX  | 6F
 OL1 9ET  | 9L
 NN17 2LF | 4U
 W4 5TZ   | 1P
 DG8 9SA  | 1F
 SK7 1ND  | 6J
 DE11 0NP | 3Z
 SN8 2WS  | 6B
 WR9 0ES  | 3T
 CF24 1DG | 9A
 SS2 5BL  | 6Z
 TQ12 6DB | 7Y
 SE25 6NS | 8X
 S81 7ES  | 8G
 SE16 4LZ | 3E
 DE5 3PG  | 6T
 HX3 8WS  | 9T
 NE13 7YJ | 4D
 ME8 0WF  | 8G
 BA1 3HB  | 7J
 HG2 8NT  | 1N
 LE7 7DE  | 6F
 TF3 1LQ  | 7J
 GU2 9SZ  | 3D
 DT4 9XN  | 5H
 WC2N 5RA | 6B
 AB10 7DH | 2D
 BH21 1WQ | 1Y
 DA4 0EJ  | 5J
 L39 2SX  | 3D
 RG41 5PZ | 6Z
 CW6 0NX  | 2S
 CR7 8EP  | 4W
 SE15 4HY | 8N
 CR0 2QJ  | 7P
 CB5 0BL  | 5W
 BH1 3TA  | 2X
 OL6 7BW  | 3P
 TS7 9ER  | 3U
 NR32 9AF | 6R
 TF7 4JU  | 2J
 SW3 3JW  | 6H
 BA3 6AB  | 9X
 TR12 7JN | 9R
 NR13 3ED | 7J
 EH7 6TU  | 2T
 DG9 0YD  | 7G
 W7 2JY   | 7S
 CO6 1LJ  | 6S
 MK18 1DF | 3R
 GU27 2AN | 5F
 WA16 9LT | 7L
 EH3 1AR  | 3N
 IG5 0LG  | 5W
 WF12 0PU | 7Z
 SP5 3AN  | 5D
 W1T 5HJ  | 8B
 IV1 1AW  | 1G
 SN11 0DW | 8J
 BH23 2DF | 6U
 GL18 2AJ | 2N
 WD6 1LW  | 7Z
 LL57 3UL | 8T
 B8 2PJ   | 4P
 CB11 3YW | 7S
 GU3 3NF  | 8Z
 NN11 0QR | 8D
 SA31 3PQ | 8E
 KT6 7BS  | 6F
 S8 8PY   | 7F
 PH2 6AG  | 7S
 TN40 2BE | 8D
 NE10 8LD | 4T
 SG12 8EW | 1G
 HA1 4JZ  | 4S
 YO23 7WA | 1A
 SA7 9TE  | 6L
 CV31 1AL | 4S
 CB22 5DT | 7H
 BT22 1QB | 8N
 CO4 5YH  | 4Q
 BN41 2FT | 9A
 SW1P 3BQ | 9T
 M9 6EN   | 7U
 PL24 2AP | 3G
 WF4 1AS  | 8Z
 NG3 4EL  | 8F
 TN37 7NT | 8W
 PL4 8RR  | 9Z
 SG17 5BT | 1T
 NP26 5BB | 4T
 NG5 5FF  | 8W
 SW19 3BB | 5Q
 W1P 5AF  | 8G
 SG2 8QP  | 8H
 OX14 1DN | 5J
 TN5 6AH  | 8S
 IV30 6JZ | 9B
 TQ13 0DT | 6F
 B65 9DA  | 5B
 CV35 8YD | 7P
 EH4 3YZ  | 6B
 NE35 9HY | 9A
 UB10 8TE | 9S
 PE30 4XX | 2G
 PO21 4HQ | 7D
 B79 7HD  | 6Y
 CF62 4YA | 1W
 SY12 0QN | 5Y
 CV11 4JS | 6X
 KT9 2BW  | 5W
 NN3 5DL  | 1U
 DT9 3DS  | 5F
 FK10 4HJ | 1S
 WA8 6EN  | 5X
 HR7 4JQ  | 1F
 G15 7DU  | 4Y
 BR6 9XA  | 3A
 NR9 5AJ  | 6F
 CR4 3ZH  | 1G
 NG18 3PT | 7A
 PL15 7AB | 1R
 WA14 5XH | 7P
 LA1 1XN  | 2J
 W1B 1QL  | 2Y
 PR3 1YR  | 7Y
 BD7 3BP  | 8X
 LA19 5XE | 8U
 B24 9HZ  | 6X
 SR6 9SN  | 4F
 TS10 4BT | 2J
 G72 9HN  | 4W
 GL18 2AA | 6G
 M33 4SG  | 7Y
 W14 4BJ  | 7W
 DT4 9JL  | 4W
 SY18 6NJ | 3D
 BS2 8SS  | 8G
 OX10 0QW | 2H
 SE16 2YY | 8F
 G64 3AQ  | 3Y
 NN18 9EG | 7R
 TN23 5YW | 7S
 HX3 5JZ  | 5J
 BA20 1SH | 9U
 PR1 2ER  | 2G
 LE5 5JA  | 9W
 CT7 9HZ  | 1Y
 HP16 0PX | 6N
 DT9 6PS  | 8R
 BT62 3QU | 4G
 SK16 4HF | 4P
 DE12 6EH | 2A
 FK7 7SP  | 2T
 G53 7FY  | 1T
 CB8 8HG  | 6J
 NE4 6PF  | 8R
 CM23 2EJ | 4W
 NE46 4DY | 3T
 SW6 1NH  | 4L
 M16 8BR  | 9N
 NG33 4DN | 6W
 S42 6HE  | 2Q
 LA5 0ST  | 6N
 GU11 3NX | 2Y
 B38 8RT  | 7W
 NW7 0DU  | 1G
 NP44 6EN | 9X
 NN7 4RX  | 1E
 OX49 5ST | 8A
 CH65 8DE | 5Z
 GL4 0NP  | 7H
 M43 7LW  | 4E
 DN17 3TL | 5F
 W1B 4EA  | 6J
 PL21 9GH | 5N
 SN12 6YE | 2J
 PR8 6LU  | 9F
 L18 1DU  | 6Z
 BS8 9FS  | 3T
 WR11 4SR | 1Q
 SS2 4GA  | 2B
 CA4 8GU  | 9F
 SW1A 2HP | 6G
 BS34 6BE | 5Y
 LU7 4RA  | 5G
 SE25 6LN | 2Y
 G64 3PB  | 4D
 PL4 6WY  | 7U
 CF11 7BA | 9X
 CR90 9JX | 7P
 KA18 3QR | 1D
 LS8 3AF  | 3Y
 B1 2QZ   | 9H
 ST5 6QG  | 4X
 CB3 7YY  | 6T
 SE3 9XG  | 5Z
 M21 8TP  | 5X
 HU15 2QZ | 5Z
 HX3 7XE  | 6R
 EH11 4SB | 8F
 BH19 2DS | 6U
 NG32 1DQ | 6R
 M34 2JF  | 3Z
 BS23 1YH | 8T
 NN7 2LW  | 6R
 NG11 6NG | 6B
 BL3 1ET  | 5T
 HR1 9EB  | 7X
 W12 9XZ  | 5H
 SE18 6GA | 8L
 E13 8HR  | 2W
 WS1 9FZ  | 1X
 CB7 5LA  | 6U
 LE5 2HN  | 7A
 W2 3SG   | 9S
 LS6 4LR  | 4F
 SY3 8PZ  | 6E
 NE66 3SG | 7B
 KT1 2AD  | 2X
 WA11 7ET | 6P
 B70 0BA  | 5D
 ME1 2HF  | 7J
 WD23 3EA | 6G
 W1G 9EH  | 6T
 LE2 3ZL  | 1N
 BS4 1AJ  | 3Q
 SW18 3BE | 9U
 NE22 5GZ | 4F
 DH6 4NW  | 9S
 L39 4RH  | 3D
 N6 6BQ   | 9D
 TW2 5TR  | 8X
 TQ6 6AJ  | 4J
 NG11 6HE | 2P
 PA16 0LN | 8N
 CH42 1PH | 2W
 PH23 3YA | 8A
 L39 1WT  | 9W
 SE16 7UY | 2X
 PE26 1GD | 8H
 HP16 9HJ | 7N
 LE13 0BS | 4P
 BT34 3PA | 1E
 LE65 2LE | 2G
 DN7 6JY  | 9L
 B28 0ER  | 4A
 DH2 3QR  | 4D
 CR2 0BE  | 8R
 ME4 4UG  | 1J
 EN11 8LA | 5Y
 BT39 9XN | 8E
 SO15 9FW | 3Y
 WA15 5HD | 6L
 OL11 4LG | 4P
 DL16 9BW | 2F
 PE19 1SH | 9Y
 B65 9RJ  | 7Q
 AB10 1UX | 4P
 LU1 5LA  | 2L
 DH8 8RU  | 7J
 LS25 6EQ | 9R
 SP10 5EF | 4H
 NG7 3FQ  | 5E
 EX14 2XZ | 1A
 KY11 2HA | 4J
 NR32 9SP | 2Y
 AL6 0LY  | 5D
 NE65 9EF | 9X
 M46 9WG  | 6G
 SO19 9ET | 9H
 SY1 3NT  | 3J
 B98 0PL  | 6B
 EX16 7DZ | 7D
 BS99 7RU | 5X
 TW3 3EU  | 7F
 PR6 7WG  | 3T
 LL49 9LS | 1Z
 BH8 9BH  | 1W
 LN2 2AU  | 2X
 CT17 0HW | 7D
 SN10 4DE | 9S
 NN8 4AL  | 4G
 EX14 3LN | 7Z
 OX12 0FB | 9E
 N12 0HW  | 9T
 TA6 7PZ  | 5W
 WF13 3LR | 7J
 M34 3HW  | 2H
 PL14 3HR | 4Q
 CW3 9PG  | 1P
 RG6 9NX  | 3J
 CF62 7YP | 1W
 ST10 1TT | 9A
 LE7 9XA  | 1A
 BS4 3NS  | 2H
 EH49 6YE | 6E
 WA9 4EL  | 7E
 BN13 2PR | 2H
 BT48 9TW | 9G
 DN15 7LL | 4Y
 CH4 0BP  | 9Y
 TN9 2HZ  | 5S
 MK18 3AQ | 4N
 TS23 3ND | 1N
 AB42 1SJ | 3B
 L37 7BY  | 9P
 SA7 0NG  | 9X
 TA3 5AH  | 2B
 RG19 8BL | 4Z
 TQ12 1XP | 4U
 CV37 8HR | 7L
 CV47 2DG | 3A
 BA3 3LP  | 4N
 TW18 1AQ | 8B
 CV12 8SJ | 9J
 L34 6JA  | 9A
 LS28 0AR | 5S
 SS9 3HF  | 2Z
 RH4 9BB  | 9D
 BH1 1RQ  | 3Q
 WF4 1ST  | 3X
 NG18 9SU | 7E
 SW1H 0QS | 7Z
 TQ12 6UN | 4T
 GL50 3QN | 1W
 GU15 3UR | 4B
 NP10 0BA | 4U
 RH8 9EL  | 2T
 SM5 3NP  | 4W
 LU7 8JW  | 7Y
 CB4 8UG  | 4H
 HS7 5PP  | 3G
 B74 3UB  | 9Z
 BS20 8YH | 6U
 SE18 1WD | 8E
 LL53 7ST | 3W
 LL13 0TH | 4W
 PR2 1WX  | 6E
 AB16 5SY | 5Z
 CT1 3JP  | 2G
 DG1 3JT  | 9N
 EX2 7JQ  | 1U
 S3 7RZ   | 5F
 B12 8UA  | 8S
 SS17 0LZ | 8E
 IG11 1EU | 6W
 RH6 8QF  | 4F
 WF14 9TF | 9S
 LE10 2JL | 1D
 IG7 6DL  | 3U
 IP11 9BS | 6J
 WA5 5PR  | 9Z
 CV31 3HQ | 7P
 TS6 6SZ  | 2A
 NN8 2AA  | 2D
 OX5 1HG  | 6E
 EX2 4SL  | 4A
 NG11 9NB | 2L
 RM12 5RR | 3L
 SW3 6ZB  | 5L
 IP3 0EG  | 2Q
 LS9 0NY  | 2A
 NE24 4BP | 7N
 DE11 9LA | 2E
 RH12 2QX | 9S
 TR27 5LE | 9H
 SY1 3JR  | 2D
 PE1 2UZ  | 3P
 BT52 1HP | 6S
 GU23 6WB | 7B
 EH4 5DU  | 9L
 SA31 9SA | 8W
 PO33 2LT | 9R
 SS16 4AG | 2G
 CH64 3SR | 7X
 SY13 2NQ | 6W
 FK15 0AX | 1L
 HP22 5ZQ | 8L
 AB44 1XN | 2L
 GU12 5NN | 9S
 AL5 9BT  | 3E
 W1T 2PT  | 1J
 CH62 9WA | 2W
 TR7 2AJ  | 9T
 BL1 3LS  | 7W
 BB11 1BP | 1P
 DY9 9PX  | 8G
 SA4 4NN  | 1Z
 B93 8UD  | 8Z
 ME13 9NJ | 2H
 AL1 1XQ  | 8S
 B21 9EU  | 9L
 BT32 5HB | 3E
 B69 4SY  | 7B
 SO41 8BL | 8A
 DN2 5JX  | 5F
 B92 0PG  | 3R
 CF15 7UR | 9T
 E4 9BQ   | 7Z
 HP12 3UH | 5H
 RH17 5LS | 4P
 FY2 0AH  | 1U
 BH21 1QU | 8H
 SE1 8QT  | 8J
 BS30 6LW | 6B
 W14 8GG  | 9E
 SK13 2BG | 1J
 NW2 4WG  | 4W
 WA11 0YL | 7W
 SO21 3EA | 7Z
 G12 8QH  | 5B
 M7 2AF   | 1E
 SN12 7QA | 1P
 TS23 2JE | 7H
 PR2 9RL  | 8G
 RG42 5NX | 2S
 CB24 9JW | 9A
 NW10 8RU | 8A
 M31 4ED  | 3Y
 RH1 5DS  | 3D
 BA2 4JJ  | 8T
 BR1 4PZ  | 6Q
 KA27 8EA | 1B
 HD9 3XB  | 1B
 S20 4YR  | 7W
 TQ1 1HG  | 1P
 JE4 5YN  | 3Y
 YO43 4EN | 7N
 BA4 5PS  | 3A
 TS5 5NG  | 1X
 NW1W 9QZ | 3R
 W1W 8YS  | 8E
 PL13 2LQ | 5U
 DL11 6NR | 1J
 BA5 2PX  | 1U
 WN3 4RZ  | 7U
 GL54 2AA | 7G
 LS16 6YD | 1N
 SW11 1QD | 4P
 EH9 1UE  | 2W
 PA1 2TZ  | 3Z
 EH16 5GW | 7F
 CW9 5QZ  | 5E
 BR2 0XQ  | 3G
 CH41 8WQ | 4R
 BD2 1AR  | 2J
 TQ12 4DG | 1H
 SN15 5EX | 8U
 SO20 8HB | 5G
 ST1 1PR  | 2B
 BT62 2AT | 7G
 LS2 8WP  | 3F
 NG33 4JW | 2F
 WD19 7RD | 4D
 TS25 1BW | 5B
 SG8 7NZ  | 5P
 LL13 9GJ | 2H
 S80 9EH  | 4L
 BD21 3NW | 6D
 LL74 8RB | 7E
 SW10 9ZE | 5N
 LU2 7QE  | 8F
 L25 1RQ  | 3D
 CA4 0QA  | 3Y
 TA18 7RQ | 9G
 SK22 2WA | 8W
 TF9 4QP  | 3F
 MK40 4QP | 1A
 WN5 0AS  | 3A
 NW8 7NJ  | 6A
 CT18 7HQ | 3Z
 SE18 3BQ | 1Z
 SG15 6XB | 6P
 BT36 6FF | 7X
 RH11 0HH | 5L
 BH21 3YQ | 1B
 SN4 4AP  | 5S
 CO1 2LL  | 3Y
 SY9 5FD  | 7Z
 CF35 5BN | 2L
 DE12 7JY | 2B
 EH46 7HN | 2W
 N14 4HE  | 3Y
 B32 1BP  | 6P
 GU12 5HA | 7L
 ME15 7DY | 6W
 BT23 8NH | 3S
 CB5 8TA  | 9D
 M7 4NP   | 4B
 S80 4SP  | 9U
 NW10 8DQ | 5Y
 TS22 5LY | 2R
 BH9 2DH  | 8N
 BT44 0RD | 6H
 RG28 7RH | 3R
 CF10 3NB | 1T
 UB2 4XH  | 6U
 RH10 6XX | 5U
 HA2 0LX  | 5U
 PO21 3AP | 9Y
 S72 7AP  | 5N
 WA8 4XQ  | 7F
 IP9 2RT  | 4A
 ME2 3RT  | 5Q
 HP9 2QD  | 8S
 L2 1PA   | 9G
 OL4 2HF  | 2B
 CT14 0HZ | 4H
 NR30 3JF | 5P
 CM20 2RN | 1E
 BL1 8TZ  | 2B
 PE24 5WA | 3N
 TW4 5LA  | 5J
 S71 2AW  | 3D
 NE65 9BP | 2H
 RG8 9DD  | 3N
 CH1 4YB  | 7A
 KW1 5QQ  | 4Q
 B64 6LT  | 2U
 SW20 2EN | 3J
 OX1 4LH  | 1Y
 EC4N 8NT | 2Q
 BT23 5QH | 4Y
 NE22 5HX | 2E
 DH5 9JQ  | 1W
 RM13 9NL | 2G
 SA32 7RD | 7R
 S80 2BY  | 7A
 CB24 6EE | 5Q
 BA2 1RT  | 4D
 PE6 8ZA  | 8N
 HA1 2PT  | 9S
 MK1 1EQ  | 5J
 WF17 6XR | 4N
 SP10 3XY | 1A
 BS23 1UR | 5P
 SE10 0XD | 3Y
 RG42 6JS | 7P
 BT75 0NF | 7S
 HU9 1ER  | 4X
 G11 6DT  | 9T
 SN25 2LH | 4H
 E1 7TW   | 5H
 SR4 9AS  | 3T
 OX13 6SW | 8S
 EN2 8NA  | 7E
 BB2 4NP  | 5U
 SL2 3SD  | 3R
 SK23 9UE | 3A
 BN6 8QF  | 3P
 EH14 7BE | 5Q
 CF31 1EL | 8U
 EN8 9DW  | 1Y
 NP13 2DH | 8W
 LA3 2QB  | 5N
 TN2 9JZ  | 2T
 GL6 0JJ  | 5Y
 SS9 5EW  | 1S
 W4 9DW   | 1J
 BT22 1HB | 1R
 TQ9 6EU  | 2H
 LL65 1TG | 4S
 FY7 8JA  | 2N
 LL23 7PU | 7U
 EN3 5ZQ  | 5H
 PO30 4JU | 8L
 PO19 2FL | 1W
 NE40 3RJ | 9Y
 LL13 9ZE | 3T
 SY3 7RS  | 1S
 SY11 2PT | 4F
 G66 2RX  | 9A
 OX11 8LD | 3E
 S73 8PW  | 9F
 DD9 7TQ  | 8E
 BH12 4AZ | 3B
 L20 4QB  | 3Y
 E16 4HX  | 9B
 SN2 7HU  | 6L
 W1G 7LG  | 8U
 SE6 3HA  | 1A
 CH62 4AB | 9S
 SN13 9FN | 5E
 SL4 6YT  | 1Q
 EH15 2BB | 9F
 SS17 7QS | 4X
 SY25 6RY | 5Q
 PO33 2AS | 8F
 CV1 2BZ  | 3A
 CW2 8AZ  | 4T
 ST6 5QF  | 8R
 BH23 2TP | 7F
 LL65 3SN | 8F
 WA16 8BY | 5B
 PL4 6RD  | 5E
 ME8 0QH  | 5E
 CF3 0JD  | 3H
 W1S 1JF  | 1S
 SE26 4XF | 7X
 PO1 2HH  | 9J
 SW8 2TF  | 8B
 LL12 9YT | 1Z
 HP5 2RE  | 9F
 CH46 7UJ | 2L
 WD6 2FJ  | 7U
 HA3 7DB  | 9U
 L12 5HD  | 8P
 KT2 5TQ  | 7Z
 TW13 4DP | 3S
 CM1 2GL  | 7F
 OL3 5RD  | 2X
 ML1 4RX  | 6Y
 LE3 9BY  | 3E
 EX16 7LT | 3X
 BL1 4EL  | 5Q
 G5 8LJ   | 8X
 SE1 1WF  | 1Q
 WF1 3YX  | 3B
 OX14 3SS | 3N
 S63 9NA  | 3S
 CV6 3DD  | 5R
 UB8 1JU  | 2R
 LA14 5WW | 2Q
 KT15 2JR | 9U
 LL22 7DN | 3L
 AB21 0RZ | 3W
 WA1 4JY  | 9D
 GU4 7ZQ  | 2S
 HP1 9HR  | 2B
 WF8 3RS  | 9X
 WA14 1WX | 2T
 DH3 2JY  | 9Q
 BN9 0JG  | 7P
 IP31 1BG | 5Y
 BD18 3AL | 2T
 NN16 6GS | 6X
 WN6 0TQ  | 2J
 B38 9DZ  | 8N
 SW19 5DQ | 4T
 NP23 4WB | 4E
 BN43 6NL | 4R
 RH20 1YX | 7F
 GU9 0HF  | 8Q
 SN8 1HJ  | 4D
 E5 8HH   | 9Y
 BS6 9HN  | 1Q
 CA1 9DP  | 2U
 WV3 9AJ  | 9U
 CV3 6TY  | 9S
 GU52 7LS | 7L
 NP23 4RJ | 8H
 DL1 4RW  | 2B
 PE12 0JZ | 8A
 BT79 7TA | 4G
 CH99 9AB | 4H
 WA6 0AD  | 5Y
 DD11 4ST | 5J
 KT24 5JS | 8X
 CV31 3DW | 3A
 TN23 3DQ | 6W
 KY11 8LH | 9R
 OX16 1UX | 1U
 HD2 1WD  | 6U
 PR25 2XE | 9P
 IG3 9QX  | 9G
 PE32 2UG | 3B
 CF14 6NH | 3Q
 PE30 4DL | 3R
 SG1 2JZ  | 2Y
 BH22 0EH | 8Y
 PL7 2DH  | 1G
 ML5 2BB  | 8A
 SO21 3HE | 3J
 HP4 1RD  | 3R
 CM3 1PA  | 2W
 IG2 7GT  | 1F
 BD5 9JU  | 2S
 CV10 9LU | 1J
 NR17 2JG | 2D
 TR4 8JW  | 1J
 CW1 3XS  | 2E
 SE2 9XB  | 7Y
 LS10 4QY | 5D
 DE13 0UL | 9W
 M34 2LD  | 9Y
 DL13 1PF | 3A
 CV7 7WS  | 5Z
 MK41 0DN | 7J
 N15 4AT  | 4A
 BT34 1AR | 8D
 TN27 0AF | 3R
 CR0 8DH  | 9N
 CR2 9NR  | 7D
 PO6 3SY  | 2S
 CF39 9AN | 9T
 TN6 3NA  | 5N
 RG42 2XS | 2T
 CR5 3NE  | 6F
 SG13 7YT | 9B
 WC2H 8EE | 9A
 LS25 1EL | 4B
 SE16 2PN | 7F
 DL8 2WY  | 5A
 GL52 8DP | 2F
 NE99 5AB | 4P
 WD2 7ZS  | 3S
 SW1A 2AH | 9X
 CR8 4YL  | 3X
 BB3 3BN  | 2A
 CV37 9BJ | 2L
 B45 9WD  | 4E
 SY4 5UN  | 3B
 BN52 9PN | 9T
 RG24 4RL | 4X
 NG24 3EX | 9U
 EH19 2HT | 9N
 PO14 1RB | 3D
 SG7 6PB  | 9T
 YO11 1HA | 6S
 BN15 0DY | 6B
 CV21 1ZW | 3W
 GL52 8NY | 9L
 SM1 3QR  | 1H
 CF83 1WN | 3H
 LD7 1TU  | 2H
 BA3 6HD  | 3D
 RG7 5EW  | 5E
 N9 7DS   | 6Q
 SK14 5EZ | 7X
 PH2 9FB  | 6W
 W8 4ZR   | 9S
 GU13 9RJ | 6Y
 AB25 2WP | 3W
 NG16 3EJ | 8W
 BD22 0RL | 8G
 BS48 4NR | 9X
 NE29 1FF | 9R
 NE3 4PU  | 9N
 LN6 9LR  | 7L
 SS6 7NE  | 3S
 BL0 9FE  | 8Q
 NN1 1HJ  | 4N
 PL6 5NL  | 6N
 RG25 2SY | 6B
 PE1 4TZ  | 4B
 DE55 5ZG | 4G
 EX31 2BD | 6A
 CH1 4LY  | 3L
 SL6 7NL  | 4A
 EH12 8WR | 7N
 IG10 4DW | 2L
 NG2 6EH  | 5E
 OX29 7QW | 3Z
 W5 9BH   | 4T
 TD9 8DQ  | 7Z
 N16 9BL  | 7Z
 HG4 1UF  | 8R
 SK8 7WX  | 5X
 LE2 7JE  | 8U
 SY21 9PR | 7L
 PR5 6RH  | 5U
 ME4 5RU  | 9A
 M45 7TQ  | 6G
 OX26 6BF | 3A
 SO21 1ZA | 1L
 BN2 3AD  | 7J
 W7 1JH   | 1W
 SS1 2SH  | 3U
 CO13 3AA | 6Z
 PR4 3BU  | 1X
 L10 3WZ  | 4A
 NN6 9GZ  | 1D
 BD23 5LJ | 4E
 CM18 6NA | 3Q
 LL53 5HE | 5T
 PE12 7LJ | 7N
 LL14 6DE | 6W
 PE19 6RS | 2X
